6732 | duc | vn058 | VietJack | ho chi minh | hue | mot chieu | pho thong | 14 5 12 2024 9 0 6 12 2024 1 0 1200000
12345 | nguyen van a | vn091 | VietJet | hue | ho chi minh | khu hoi | thuong gia | 2 30 11 2024 7 0 1 12 2024 13 0 3000000
12345 | nguyen van a | vn058 | VietJack | ho chi minh | hue | khu hoi | thuong gia | 10 5 12 2024 9 0 6 12 2024 1 0 3500000
842335 | nghia | vn058 | VietJack | ho chi minh | hue | mot chieu | thuong gia | 4 5 12 2024 9 0 6 12 2024 1 0 3500000
123456 | hau | vn058 | VietJack | ho chi minh | hue | mot chieu | pho thong | 12 5 12 2024 9 0 6 12 2024 1 0 1200000
217412 | linh | vn091 | VietJet | hue | ho chi minh | khu hoi | pho thong | 15 30 11 2024 7 0 1 12 2024 13 0 1500000
217412 | linh | vn058 | VietJack | ho chi minh | hue | khu hoi | pho thong | 24 5 12 2024 9 0 6 12 2024 1 0 1200000
819374 | dung | vn091 | VietJet | hue | ho chi minh | khu hoi | thuong gia | 5 30 11 2024 7 0 1 12 2024 13 0 3000000
819374 | dung | vn058 | VietJack | ho chi minh | hue | khu hoi | thuong gia | 6 5 12 2024 9 0 6 12 2024 1 0 3500000
12875 | phat | vn091 | VietJet | hue | ho chi minh | khu hoi | thuong gia | 3 30 11 2024 7 0 1 12 2024 13 0 3000000
12875 | phat | vn058 | VietJack | ho chi minh | hue | khu hoi | thuong gia | 7 5 12 2024 9 0 6 12 2024 1 0 3500000
124415 | dinh | vn091 | VietJet | hue | ho chi minh | khu hoi | pho thong | 13 30 11 2024 7 0 1 12 2024 13 0 1500000
124415 | dinh | vn058 | VietJack | ho chi minh | hue | khu hoi | thuong gia | 2 5 12 2024 9 0 6 12 2024 1 0 3500000
123456 | hau | vn091 | VietJet | hue | ho chi minh | khu hoi | pho thong | 25 30 11 2024 7 0 1 12 2024 13 0 1500000
123456 | hau | vn058 | VietJack | ho chi minh | hue | khu hoi | pho thong | 16 5 12 2024 9 0 6 12 2024 1 0 1200000
123456 | hau | vn091 | VietJet | hue | ho chi minh | khu hoi | pho thong | 34 30 11 2024 7 0 1 12 2024 13 0 1500000
123456 | hau | vn058 | VietJack | ho chi minh | hue | khu hoi | pho thong | 25 5 12 2024 9 0 6 12 2024 1 0 1200000
6732 | duc | vn091 | VietJet | hue | ho chi minh | mot chieu | thuong gia | 8 30 11 2024 7 0 1 12 2024 13 0 3000000
842335 | nghia | vn091 | VietJet | hue | ho chi minh | mot chieu | pho thong | 23 30 11 2024 7 0 1 12 2024 13 0 1500000
28375 | thang | vn091 | VietJet | hue | ho chi minh | mot chieu | pho thong | 30 30 11 2024 7 0 1 12 2024 13 0 1500000
28375 | thang | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 14 2 12 2024 7 0 4 12 2024 8 0 1000000
28375 | thang | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | thuong gia | 5 10 12 2024 5 0 11 12 2024 16 0 2400000
123456 | hau | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 27 2 12 2024 7 0 4 12 2024 8 0 1000000
123456 | hau | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | thuong gia | 6 10 12 2024 5 0 11 12 2024 16 0 2400000
8724 | nyx | vn076 | VietJet | ho chi minh | nha trang | khu hoi | thuong gia | 6 2 12 2024 7 0 4 12 2024 8 0 10000000
8724 | nyx | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | thuong gia | 10 10 12 2024 5 0 11 12 2024 16 0 2400000
8724 | nyx | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | thuong gia | 4 30 11 2024 12 0 3 12 2024 5 0 3000000
8724 | nyx | vn346 | VietJack | ho chi minh | ha noi | khu hoi | thuong gia | 7 10 12 2024 8 0 14 12 2024 6 0 2750000
9235 | khanh | vn076 | VietJet | ho chi minh | nha trang | khu hoi | pho thong | 17 2 12 2024 7 0 4 12 2024 8 0 1000000
9235 | khanh | vn086 | VietnamAirline | nha trang | ho chi minh | khu hoi | pho thong | 27 10 12 2024 5 0 11 12 2024 16 0 1200000
9235 | khanh | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 25 30 11 2024 12 0 3 12 2024 5 0 1500000
9235 | khanh | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 17 10 12 2024 8 0 14 12 2024 6 0 1250000
6732 | duc | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 12 30 11 2024 12 0 3 12 2024 5 0 1500000
6732 | duc | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 25 10 12 2024 8 0 14 12 2024 6 0 1250000
12875 | phat | vn666 | VietnamAirline | ha noi | ho chi minh | khu hoi | pho thong | 22 30 11 2024 12 0 3 12 2024 5 0 1500000
12875 | phat | vn346 | VietJack | ho chi minh | ha noi | khu hoi | pho thong | 14 10 12 2024 8 0 14 12 2024 6 0 1250000
